Benefits scrape: total ids=2833, pending=2833, concurrency=14
[1.8%] batch+50 ok=50 miss=0 err=0 chunks=1 3.9s
[3.5%] batch+50 ok=100 miss=0 err=0 chunks=2 6.0s
[5.3%] batch+50 ok=150 miss=0 err=0 chunks=2 8.2s
[7.1%] batch+50 ok=200 miss=0 err=0 chunks=3 11.0s
[8.8%] batch+50 ok=250 miss=0 err=0 chunks=3 13.8s
[10.6%] batch+50 ok=300 miss=0 err=0 chunks=4 17.4s
[12.4%] batch+50 ok=350 miss=0 err=0 chunks=5 20.4s
[14.1%] batch+50 ok=400 miss=0 err=0 chunks=5 23.1s
[15.9%] batch+50 ok=450 miss=0 err=0 chunks=6 25.5s
[17.6%] batch+50 ok=500 miss=0 err=0 chunks=6 28.5s
[19.4%] batch+50 ok=550 miss=0 err=0 chunks=7 31.2s
[21.2%] batch+50 ok=600 miss=0 err=0 chunks=7 33.5s
[22.9%] batch+50 ok=650 miss=0 err=0 chunks=8 36.4s
[24.7%] batch+50 ok=700 miss=0 err=0 chunks=8 39.4s
[26.5%] batch+50 ok=750 miss=0 err=0 chunks=9 41.8s
[28.2%] batch+50 ok=800 miss=0 err=0 chunks=9 43.7s
[30.0%] batch+50 ok=850 miss=0 err=0 chunks=10 45.5s
[31.8%] batch+50 ok=900 miss=0 err=0 chunks=10 47.5s
[33.5%] batch+50 ok=950 miss=0 err=0 chunks=11 49.5s
[35.3%] batch+50 ok=1000 miss=0 err=0 chunks=11 51.6s
[37.1%] batch+50 ok=1050 miss=0 err=0 chunks=12 53.8s
[38.8%] batch+50 ok=1100 miss=0 err=0 chunks=13 56.3s
[40.6%] batch+50 ok=1150 miss=0 err=0 chunks=13 58.3s
[42.4%] batch+50 ok=1200 miss=0 err=0 chunks=14 60.6s
[44.1%] batch+50 ok=1250 miss=0 err=0 chunks=14 63.2s
[45.9%] batch+50 ok=1300 miss=0 err=0 chunks=15 66.1s
[47.7%] batch+50 ok=1350 miss=0 err=0 chunks=15 68.2s
[49.4%] batch+50 ok=1400 miss=0 err=0 chunks=16 71.1s
[51.2%] batch+50 ok=1450 miss=0 err=0 chunks=16 73.7s
[52.9%] batch+50 ok=1500 miss=0 err=0 chunks=17 76.3s
[54.7%] batch+50 ok=1550 miss=0 err=0 chunks=17 78.6s
[56.5%] batch+50 ok=1600 miss=0 err=0 chunks=18 81.5s
[58.2%] batch+50 ok=1650 miss=0 err=0 chunks=18 84.4s
[60.0%] batch+50 ok=1700 miss=0 err=0 chunks=19 87.3s
[61.8%] batch+50 ok=1750 miss=0 err=0 chunks=19 90.3s
[63.5%] batch+50 ok=1800 miss=0 err=0 chunks=20 92.8s
[65.3%] batch+50 ok=1850 miss=0 err=0 chunks=20 95.6s
[67.1%] batch+50 ok=1900 miss=0 err=0 chunks=21 98.3s
[68.8%] batch+50 ok=1950 miss=0 err=0 chunks=21 100.6s
[70.6%] batch+50 ok=2000 miss=0 err=0 chunks=22 103.0s
[72.4%] batch+50 ok=2050 miss=0 err=0 chunks=22 105.9s
[74.1%] batch+50 ok=2100 miss=0 err=0 chunks=23 109.1s
[75.9%] batch+50 ok=2150 miss=0 err=0 chunks=23 112.5s
[77.7%] batch+50 ok=2200 miss=0 err=0 chunks=24 115.1s
[79.4%] batch+50 ok=2250 miss=0 err=0 chunks=24 118.5s
[81.2%] batch+50 ok=2300 miss=0 err=0 chunks=25 121.7s
[83.0%] batch+50 ok=2350 miss=0 err=0 chunks=25 125.7s
[84.7%] batch+50 ok=2400 miss=0 err=0 chunks=26 131.8s
[86.5%] batch+50 ok=2450 miss=0 err=0 chunks=27 137.9s
[88.2%] batch+50 ok=2500 miss=0 err=0 chunks=27 143.7s
[90.0%] batch+50 ok=2550 miss=0 err=0 chunks=28 151.3s
[91.8%] batch+50 ok=2600 miss=0 err=0 chunks=28 159.9s
[93.5%] batch+50 ok=2650 miss=0 err=0 chunks=29 168.8s
[95.3%] batch+50 ok=2700 miss=0 err=0 chunks=29 175.0s
[97.1%] batch+50 ok=2750 miss=0 err=0 chunks=30 179.4s
[98.8%] batch+50 ok=2800 miss=0 err=0 chunks=30 183.1s
[100.0%] batch+33 ok=2833 miss=0 err=0 chunks=31 184.9s
--- Done ---
Saved benefits under C:\Users\djw7ql\OneDrive - Aptiv\Antigravity\SimPlanner\src\apps\Finance\data\benefits
ok=2833 miss=0 err=0 elapsed=185.1s
